Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of good,Number of facades,Swimming pool,State of building
20643212,Duffel,2570,295000.0,APARTMENT,DUPLEX,sale,1.0,95.0,0,0,0,,,,2.0,0,
20430389,Zottegem,9620,459000.0,HOUSE,HOUSE,sale,4.0,236.0,0,0,0,,,1270.0,3.0,0,GOOD
20499119,Gedinne,5575,279000.0,HOUSE,HOUSE,sale,4.0,160.0,1,0,0,10.0,4000.0,4160.0,4.0,0,TO_RENOVATE
20618605,Huy,4500,59000.0,HOUSE,HOUSE,sale,2.0,77.0,0,0,0,,,110.0,2.0,0,
20609685,Nieuwpoort,8620,235000.0,HOUSE,HOUSE,sale,2.0,54.0,1,0,0,,,83.0,,0,GOOD
20543279,Bruxelles,1000,445000.0,APARTMENT,DUPLEX,sale,3.0,140.0,1,0,0,9.0,,,3.0,0,AS_NEW
20551166,Haacht,3150,370000.0,HOUSE,HOUSE,sale,3.0,179.0,1,0,0,,,158.0,3.0,0,GOOD
20387457,Woluwe-Saint-Pierre,1150,400000.0,APARTMENT,GROUND_FLOOR,sale,3.0,113.0,1,0,0,22.0,150.0,,3.0,0,TO_RENOVATE
20656508,Eeklo,9900,205000.0,HOUSE,HOUSE,sale,2.0,102.0,0,0,0,,,160.0,2.0,0,
11468097,Auderghem,1160,440000.0,APARTMENT,GROUND_FLOOR,sale,1.0,74.0,1,0,0,15.0,,,,0,AS_NEW
11395858,Zeebrugge,8380,191900.0,APARTMENT,APARTMENT,sale,2.0,72.0,1,0,0,,,,,0,GOOD
20633962,Oostakker,9041,275000.0,APARTMENT,APARTMENT,sale,2.0,82.0,1,0,0,9.0,,,,0,AS_NEW
20645493,TONGEREN-BORGLOON,3700,479000.0,HOUSE,HOUSE,sale,5.0,359.0,1,0,0,,,905.0,,0,GOOD
20637972,Sint-Martens-Latem,9830,3995000.0,HOUSE,HOUSE,sale,5.0,453.0,0,0,0,,,5484.0,,0,TO_RENOVATE
20657608,Zwalm,9630,895000.0,HOUSE,BUNGALOW,sale,3.0,,0,0,0,,,2200.0,28.5,0,AS_NEW
20611466,Leuven,3000,764500.0,APARTMENT,DUPLEX,sale,2.0,139.0,1,0,0,21.0,,,2.0,0,AS_NEW
20610761,Steenokkerzeel,1820,660000.0,HOUSE,HOUSE,sale,5.0,269.0,1,0,1,30.0,600.0,1262.0,4.0,0,TO_BE_DONE_UP
20639205,Genappe,1470,569000.0,HOUSE,HOUSE,sale,6.0,270.0,1,0,0,,,1360.0,4.0,0,GOOD
20614829,DILBEEK,1700,264000.0,APARTMENT,APARTMENT,sale,1.0,73.0,1,0,0,9.0,,,2.0,0,GOOD
20637446,Knokke,8300,1475000.0,HOUSE,HOUSE,sale,3.0,391.0,0,0,0,,,177.0,,0,
20465369,Woluwe-Saint-Pierre,1150,330000.0,APARTMENT,SERVICE_FLAT,sale,1.0,64.0,0,0,0,13.0,,,1.0,0,AS_NEW
20400188,Sint-Katelijne-Waver,2860,825000.0,HOUSE,HOUSE,sale,4.0,292.0,1,0,0,43.0,,29377.0,4.0,0,TO_BE_DONE_UP
20610292,Asse,1730,405000.0,HOUSE,HOUSE,sale,3.0,168.0,1,0,0,,,0.0,2.0,0,GOOD
20552832,Kalmthout,2920,334000.0,HOUSE,HOUSE,sale,3.0,136.0,1,0,0,,,450.0,3.0,0,TO_BE_DONE_UP
20160099,Westende,8434,106000.0,APARTMENT,APARTMENT,sale,2.0,44.0,1,1,0,9.0,,,2.0,0,GOOD
20637513,Schilde,2970,1795000.0,HOUSE,VILLA,sale,4.0,350.0,1,0,0,,,5014.0,4.0,0,AS_NEW
20573163,DRONGEN,9031,350751.0,APARTMENT,APARTMENT,sale,2.0,100.0,1,0,0,14.0,,,2.0,0,
20229874,Oostende,8400,339000.0,HOUSE,HOUSE,sale,4.0,165.0,1,0,0,,,125.0,,0,GOOD
20482862,Oostende,8400,399500.0,APARTMENT,APARTMENT,sale,2.0,91.0,0,0,0,,,,,0,JUST_RENOVATED
20446968,Court-St.-Etienne,1490,449.0,APARTMENT_GROUP,APARTMENT_GROUP,sale,,,0,0,0,,,,,0,
20500627,Merelbeke,9820,299000.0,HOUSE,HOUSE,sale,2.0,279.0,1,0,0,,,522.0,,0,TO_RENOVATE
20543268,Izegem,8870,199000.0,HOUSE,HOUSE,sale,2.0,177.0,0,0,0,,,165.0,,0,GOOD
20656674,Bredene,8450,235000.0,APARTMENT,APARTMENT,sale,2.0,70.0,0,0,0,14.0,,,,0,GOOD
20609419,Oudenburg,8460,1149000.0,HOUSE,COUNTRY_COTTAGE,sale,4.0,299.0,0,0,0,,,12030.0,4.0,1,GOOD
20600255,Kortrijk,8500,1395000.0,HOUSE,HOUSE,sale,4.0,552.0,0,0,0,,,857.0,4.0,0,AS_NEW
20139745,Hoogstraten,2322,695000.0,APARTMENT,PENTHOUSE,sale,4.0,245.0,1,0,0,28.0,,,3.0,0,AS_NEW
20636108,SCHAERBEEK,1030,165000.0,APARTMENT,APARTMENT,sale,1.0,60.0,1,0,0,,,,2.0,0,TO_BE_DONE_UP
20595184,Bruxelles,1020,159000.0,APARTMENT,APARTMENT,sale,1.0,60.0,1,0,0,,,,2.0,0,TO_RENOVATE
20214989,HEUSDEN,9070,380000.0,HOUSE,HOUSE,sale,2.0,135.0,1,0,0,,,767.0,4.0,0,TO_RENOVATE
20453195,HUY,4500,279000.0,HOUSE,HOUSE,sale,3.0,250.0,1,0,0,,,484.0,4.0,0,GOOD
20568422,Ixelles,1050,250000.0,APARTMENT,GROUND_FLOOR,sale,1.0,40.0,0,0,0,,,,2.0,0,
20313915,KAPELLE-OP-DEN-BOS,1880,560000.0,HOUSE,HOUSE,sale,4.0,250.0,1,0,0,,,2548.0,4.0,0,TO_BE_DONE_UP
20487884,Zeebrugge,8380,275000.0,APARTMENT,APARTMENT,sale,2.0,77.0,0,0,0,,,,,0,JUST_RENOVATED
20348670,Aalst (9300),9300,340000.0,APARTMENT,APARTMENT,sale,4.0,142.0,1,0,0,44.0,,,6.0,0,AS_NEW
20631069,Wellin,6920,69900.0,HOUSE,HOUSE,sale,3.0,75.0,0,0,0,,,0.0,3.0,0,TO_RENOVATE
20653618,Machelen,1830,699000.0,HOUSE,VILLA,sale,5.0,277.0,0,0,0,32.0,,1105.0,4.0,0,
20653908,Tielt-Winge,3390,417746.0,HOUSE,HOUSE,sale,3.0,140.0,1,0,0,,,389.0,3.0,0,
20501693,Blankenberge,8370,199000.0,APARTMENT,APARTMENT,sale,1.0,56.0,0,0,0,,,,,0,GOOD
