id,type,subtype,postal_code,locality,price,rooms_cnt,area,immo_url,Type of sale,Kitchen type,Terrace surface,Garden surface,Swimming pool,Furnished,Open fire,Building condition,Number of frontages,Surface of good,Construction year
20665377,house,villa,1410,Waterloo,1100000,4.0,260.0,https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/20665377,For sale,Hyper equipped,,2688.0,0,0,0,As new,4.0,2688.0,1958.0
20612990,house,house,2660,HOBOKEN,359000,4.0,148.0,https://www.immoweb.be/en/classified/house/for-sale/hoboken/2660/20612990,For sale,,25.0,12.0,0,0,0,Good,2.0,96.0,
20669109,apartment,triplex,1050,Ixelles,745000,3.0,138.0,https://www.immoweb.be/en/classified/triplex/for-sale/ixelles/1050/20669109,For sale,USA hyper equipped,6.0,,0,0,0,As new,2.0,,2025.0
20662835,house,house,1745,Opwijk,465000,3.0,185.0,https://www.immoweb.be/en/classified/house/for-sale/opwijk/1745/20662835,For sale,Hyper equipped,,,0,0,0,Good,4.0,675.0,1979.0
20644762,house,house,9700,Oudenaarde,199000,3.0,142.0,https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20644762,For sale,,,,0,0,0,,2.0,166.0,
20649703,apartment,apartment,4020,LIГ€GE,125000,1.0,52.0,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4020/20649703,For sale,Installed,,,0,0,0,To be done up,2.0,,
20611047,house,house,9100,SINT-NIKLAAS,249500,3.0,125.0,https://www.immoweb.be/en/classified/house/for-sale/sint-niklaas/9100/20611047,For sale,Installed,,37.0,0,0,0,Good,2.0,96.0,1900.0
20664364,house,house,9040,Gent,410000,2.0,220.0,https://www.immoweb.be/en/classified/house/for-sale/gent/9040/20664364,For sale,,42.0,,0,0,0,As new,4.0,345.0,1980.0
20664249,house,house,9200,Dendermonde,429000,3.0,169.0,https://www.immoweb.be/en/classified/house/for-sale/dendermonde/9200/20664249,For sale,,,,0,0,0,,,165.0,
20662880,house,house,8301,Knokke-Heist,295000,5.0,245.0,https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8301/20662880,For sale,,,,0,0,0,Good,2.0,105.0,1925.0
20672859,apartment,apartment,2018,Antwerpen,339000,2.0,91.0,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20672859,For sale,,,,0,0,0,As new,,,1947.0
20670876,apartment,apartment,8670,KOKSIJDE,325000,2.0,70.0,https://www.immoweb.be/en/classified/apartment/for-sale/koksijde/8670/20670876,For sale,,8.0,,0,1,0,As new,,,2011.0
20613329,apartment,apartment,2830,WILLEBROEK,295000,1.0,93.0,https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/20613329,For sale,Installed,6.0,,0,0,0,Good,,,2011.0
20670770,apartment,apartment,8501,Heule,289000,3.0,129.0,https://www.immoweb.be/en/classified/apartment/for-sale/heule/8501/20670770,For sale,,,,0,0,0,As new,4.0,,1974.0
20665416,house,house,9000,Gent,399000,2.0,136.0,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20665416,For sale,Installed,,105.0,0,0,0,Good,,191.0,1951.0
20617389,house,house,4400,FLГ‰MALLE-GRANDE,279000,4.0,125.0,https://www.immoweb.be/en/classified/house/for-sale/flemalle-grande/4400/20617389,For sale,Installed,25.0,300.0,0,0,0,To renovate,4.0,685.0,
20640884,house,villa,1652,Beersel,870000,4.0,387.0,https://www.immoweb.be/en/classified/villa/for-sale/beersel/1652/20640884,For sale,,,,0,0,0,To be done up,4.0,2444.0,1980.0
20641840,house,house,3600,GENK,499000,3.0,228.0,https://www.immoweb.be/en/classified/house/for-sale/genk/3600/20641840,For sale,Semi equipped,,,0,0,0,Good,4.0,1330.0,1956.0
20641195,house,house,8020,Oostkamp,419000,3.0,190.0,https://www.immoweb.be/en/classified/house/for-sale/oostkamp/8020/20641195,For sale,,,,0,0,0,Good,4.0,540.0,
